Start;Stop;Chanel;Num;Ctg;NameSer;Ratio
200355;200540;.Black;86;Х/ф;Ларго Винч;[18+]
200540;200600;.Black;86;Х/ф;Тачкомания;[16+]
200600;200620;.Black;86;Х/ф;Тачкомания;[16+]
200620;200745;.Black;86;Х/ф;Встречное расследование;[16+]
200745;200835;.Black;86;Х/ф;Последний мент;[16+]
200835;200925;.Black;86;Х/ф;Последний мент;[16+]
200925;201015;.Black;86;Х/ф;Последний мент;[16+]
201015;201105;.Black;86;Х/ф;Последний мент;[16+]
201105;201200;.Black;86;Х/ф;Тихоокеанские расследования;[16+]
201200;201255;.Black;86;Х/ф;Тихоокеанские расследования;[16+]
201255;201345;.Black;86;Х/ф;Соммердаль;[16+]
201345;201440;.Black;86;Х/ф;Соммердаль;[16+]
201440;201525;.Black;86;Х/ф;Премьера. "Жестокое правосудие";[16+]
201525;201615;.Black;86;Х/ф;Премьера. "Жестокое правосудие";[16+]
201615;201710;.Black;86;Х/ф;Премьера. "Тихоокеанские расследования";[16+]
201710;201810;.Black;86;Х/ф;Премьера. "Тихоокеанские расследования";[16+]
201810;201905;.Black;86;Х/ф;Чисто английские убийства;[16+]
201905;202005;.Black;86;Х/ф;Чисто английские убийства;[16+]
202005;202100;.Black;86;Х/ф;Чисто английские убийства;[16+]
202100;202200;.Black;86;Х/ф;Чисто английские убийства;[16+]
202200;202305;.Black;86;Х/ф;Убийство;[16+]
202305;210010;.Black;86;Х/ф;Убийство;[18+]
210010;210105;.Black;86;Х/ф;Тихоокеанские расследования;[16+]
210105;210155;.Black;86;Х/ф;Тихоокеанские расследования;[16+]
210155;210340;.Black;86;Х/ф;Игры шпионов;[16+]
210340;210540;.Black;86;Х/ф;Премьера. "Ларго Винч: Заговор в Бирме";[18+]
210540;210600;.Black;86;Х/ф;Тачкомания;[16+]
210600;210740;.Black;86;Х/ф;Премьера. "Ловкие руки";[16+]
210740;210830;.Black;86;Х/ф;Последний мент;[16+]
210830;210920;.Black;86;Х/ф;Последний мент;[16+]
210920;211015;.Black;86;Х/ф;Последний мент;[16+]
211015;211105;.Black;86;Х/ф;Последний мент;[16+]
211105;211200;.Black;86;Х/ф;Тихоокеанские расследования;[16+]
211200;211255;.Black;86;Х/ф;Тихоокеанские расследования;[16+]
211255;211345;.Black;86;Х/ф;Соммердаль;[16+]
211345;211440;.Black;86;Х/ф;Соммердаль;[16+]
211440;211525;.Black;86;Х/ф;Премьера. "Жестокое правосудие";[16+]
211525;211615;.Black;86;Х/ф;Премьера. "Жестокое правосудие";[16+]
211615;211710;.Black;86;Х/ф;Премьера. "Тихоокеанские расследования";[16+]
211710;211810;.Black;86;Х/ф;Премьера. "Тихоокеанские расследования";[16+]
211810;211910;.Black;86;Х/ф;Чисто английские убийства;[16+]
211910;212005;.Black;86;Х/ф;Чисто английские убийства;[16+]
212005;212105;.Black;86;Х/ф;Чисто английские убийства;[16+]
212105;212200;.Black;86;Х/ф;Чисто английские убийства;[16+]
212200;212305;.Black;86;Х/ф;Убийство;[16+]
212305;220015;.Black;86;Х/ф;Убийство;[18+]
220015;220110;.Black;86;Х/ф;Тихоокеанские расследования;[16+]
220110;220200;.Black;86;Х/ф;Тихоокеанские расследования;[16+]
220200;220355;.Black;86;Х/ф;Код 355;[16+]
220355;220535;.Black;86;Х/ф;Игры шпионов;[16+]
220535;220600;.Black;86;Х/ф;Тачкомания;[16+]
220600;220620;.Black;86;Х/ф;Тачкомания;[16+]
220620;220645;.Black;86;Х/ф;Заряженные тачки;[16+]
220645;220705;.Black;86;Х/ф;Заряженные тачки;[16+]
220705;220840;.Black;86;Х/ф;За гранью;[16+]
220840;221050;.Black;86;Х/ф;Кто убил BlackBerry;[16+]
221050;221250;.Black;86;Х/ф;Трасса 60;[16+]
221250;221345;.Black;86;Х/ф;Чисто английские убийства;[16+]
221345;221435;.Black;86;Х/ф;Чисто английские убийства;[16+]
221435;221530;.Black;86;Х/ф;Чисто английские убийства;[16+]
221530;221625;.Black;86;Х/ф;Чисто английские убийства;[16+]
221625;221725;.Black;86;Х/ф;Чисто английские убийства;[16+]
221725;221820;.Black;86;Х/ф;Чисто английские убийства;[16+]
221820;221910;.Black;86;Х/ф;Чисто английские убийства;[16+]
221910;222005;.Black;86;Х/ф;Чисто английские убийства;[16+]
222005;222105;.Black;86;Х/ф;Чисто английские убийства;[16+]
222105;222200;.Black;86;Х/ф;Чисто английские убийства;[16+]
222200;222350;.Black;86;Х/ф;Крушение;[16+]
222350;230125;.Black;86;Х/ф;Васаби;[18+]
230125;230325;.Black;86;Х/ф;Код 355;[16+]
230325;230455;.Black;86;Х/ф;Ловкие руки;[18+]
230455;230515;.Black;86;Х/ф;Заряженные тачки;[16+]
230515;230540;.Black;86;Х/ф;Заряженные тачки;[16+]
230540;230600;.Black;86;Х/ф;Заряженные тачки;[16+]
230600;230620;.Black;86;Х/ф;Заряженные тачки;[16+]
230620;230645;.Black;86;Х/ф;Заряженные тачки;[16+]
230645;230845;.Black;86;Х/ф;Ларго Винч;[16+]
230845;231055;.Black;86;Х/ф;Ларго Винч: Заговор в Бирме;[16+]
231055;231235;.Black;86;Х/ф;Ловкие руки;[16+]
231235;231330;.Black;86;Х/ф;Чисто английские убийства;[16+]
231330;231425;.Black;86;Х/ф;Чисто английские убийства;[16+]
231425;231525;.Black;86;Х/ф;Чисто английские убийства;[16+]
231525;231620;.Black;86;Х/ф;Чисто английские убийства;[16+]
231620;231715;.Black;86;Х/ф;Чисто английские убийства;[16+]
231715;231810;.Black;86;Х/ф;Чисто английские убийства;[16+]
231810;231910;.Black;86;Х/ф;Чисто английские убийства;[16+]
231910;232005;.Black;86;Х/ф;Чисто английские убийства;[16+]
232005;232105;.Black;86;Х/ф;Чисто английские убийства;[16+]
232105;232200;.Black;86;Х/ф;Чисто английские убийства;[16+]
232200;240000;.Black;86;Х/ф;Самый быстрый Indian;[16+]
240000;240200;.Black;86;Х/ф;Код 355;[16+]
240200;240345;.Black;86;Х/ф;Игры шпионов;[16+]
240345;240515;.Black;86;Х/ф;Матадор;[16+]
240515;240535;.Black;86;Х/ф;Заряженные тачки;[16+]
240535;240600;.Black;86;Х/ф;Заряженные тачки;[16+]
170600;170620;.Red;85;Х/ф;Как отреставрировать замок (и остаться в живых);[16+]
170620;170755;.Red;85;Х/ф;Замёрзшая из Майами;[16+]
170755;170915;.Red;85;Х/ф;Отважный Бим и пернатые колокольчики;[12+]
170915;171100;.Red;85;Х/ф;Певица на всю голову;[16+]
171100;171305;.Red;85;Х/ф;Месть от кутюр;[16+]
171305;171450;.Red;85;Х/ф;Сердцеед;[16+]
171450;171650;.Red;85;Х/ф;Шагни вперёд;[16+]
171650;171830;.Red;85;Х/ф;Пока я рядом;[16+]
171830;172000;.Red;85;Х/ф;Дождь из мужчин;[16+]
172000;172050;.Red;85;Х/ф;Тайны Авроры Тигарден;[16+]
172050;172140;.Red;85;Х/ф;Тайны Авроры Тигарден;[16+]
172140;172200;.Red;85;Х/ф;Больница Сент-Винсент;[16+]
172200;172225;.Red;85;Х/ф;Больница Сент-Винсент;[16+]
172225;172245;.Red;85;Х/ф;Больница Сент-Винсент;[16+]
172245;172310;.Red;85;Х/ф;Больница Сент-Винсент;[16+]
172310;172335;.Red;85;Х/ф;Больница Сент-Винсент;[16+]
172335;180135;.Red;85;Х/ф;Супергерои;[16+]
180135;180215;.Red;85;Х/ф;Тайны Авроры Тигарден;[16+]
180215;180300;.Red;85;Х/ф;Тайны Авроры Тигарден;[16+]
180300;180320;.Red;85;Х/ф;Больница Сент-Винсент;[16+]
180320;180340;.Red;85;Х/ф;Больница Сент-Винсент;[16+]
180340;180400;.Red;85;Х/ф;Больница Сент-Винсент;[16+]
180400;180515;.Red;85;Х/ф;Сирокко из страны ветров;[12+]
180515;180535;.Red;85;Х/ф;Как отреставрировать замок (и остаться в живых);[16+]
180535;180600;.Red;85;Х/ф;Как отреставрировать замок (и остаться в живых);[16+]
180600;180620;.Red;85;Х/ф;Как отреставрировать замок (и остаться в живых);[16+]
180620;180805;.Red;85;Х/ф;Сердцеед;[16+]
180805;180825;.Red;85;Х/ф;Секретные рецепты Мэри Берг;[16+]
180825;180845;.Red;85;Х/ф;Секретные рецепты Мэри Берг;[16+]
180845;180910;.Red;85;Х/ф;Секретные рецепты Мэри Берг;[16+]
180910;180955;.Red;85;Х/ф;Валентина, любовь моя;[16+]
180955;181040;.Red;85;Х/ф;Валентина, любовь моя;[16+]
181040;181130;.Red;85;Х/ф;Тайны Авроры Тигарден;[16+]
181130;181220;.Red;85;Х/ф;Тайны Авроры Тигарден;[16+]
181220;181410;.Red;85;Х/ф;Певица на всю голову;[16+]
181410;181430;.Red;85;Х/ф;Как остаться в браке;[16+]
181430;181455;.Red;85;Х/ф;Как остаться в браке;[16+]
181455;181515;.Red;85;Х/ф;Как остаться в браке;[16+]
181515;181540;.Red;85;Х/ф;Как остаться в браке;[16+]
181540;181605;.Red;85;Х/ф;Как остаться в браке;[16+]
181605;181630;.Red;85;Х/ф;Как остаться в браке;[16+]
181630;181655;.Red;85;Х/ф;Как остаться в браке;[16+]
181655;181720;.Red;85;Х/ф;Как остаться в браке;[16+]
181720;181805;.Red;85;Х/ф;Валентина, любовь моя;[16+]
181805;181855;.Red;85;Х/ф;Валентина, любовь моя;[16+]
181855;181915;.Red;85;Х/ф;Секретные рецепты Мэри Берг;[16+]
181915;181940;.Red;85;Х/ф;Секретные рецепты Мэри Берг;[16+]
181940;182000;.Red;85;Х/ф;Секретные рецепты Мэри Берг;[16+]
182000;182050;.Red;85;Х/ф;Тайны Авроры Тигарден;[16+]
182050;182140;.Red;85;Х/ф;Тайны Авроры Тигарден;[16+]
182140;182200;.Red;85;Х/ф;Больница Сент-Винсент;[16+]
182200;182225;.Red;85;Х/ф;Больница Сент-Винсент;[16+]
182225;182250;.Red;85;Х/ф;Больница Сент-Винсент;[16+]
182250;182315;.Red;85;Х/ф;Больница Сент-Винсент;[16+]
182315;182335;.Red;85;Х/ф;Больница Сент-Винсент;[16+]
182335;190135;.Red;85;Х/ф;Адаптация;[18+]
190135;190220;.Red;85;Х/ф;Тайны Авроры Тигарден;[16+]
190220;190300;.Red;85;Х/ф;Тайны Авроры Тигарден;[16+]
190300;190320;.Red;85;Х/ф;Больница Сент-Винсент;[16+]
190320;190340;.Red;85;Х/ф;Больница Сент-Винсент;[16+]
190340;190405;.Red;85;Х/ф;Больница Сент-Винсент;[16+]
190405;190515;.Red;85;Х/ф;Отважный Бим и пернатые колокольчики;[12+]
190515;190535;.Red;85;Х/ф;Как отреставрировать замок (и остаться в живых);[16+]
190535;190600;.Red;85;Х/ф;Как отреставрировать замок (и остаться в живых);[16+]
190600;190620;.Red;85;Х/ф;Как отреставрировать замок (и остаться в живых);[16+]
190620;190815;.Red;85;Х/ф;Месть от кутюр;[16+]
190815;190840;.Red;85;Х/ф;Секретные рецепты Мэри Берг;[16+]
190840;190900;.Red;85;Х/ф;Секретные рецепты Мэри Берг;[16+]
190900;190945;.Red;85;Х/ф;Валентина, любовь моя;[16+]
190945;191035;.Red;85;Х/ф;Валентина, любовь моя;[16+]
191035;191125;.Red;85;Х/ф;Тайны Авроры Тигарден;[16+]
191125;191215;.Red;85;Х/ф;Тайны Авроры Тигарден;[16+]
191215;191355;.Red;85;Х/ф;Замёрзшая из Майами;[16+]
191355;191420;.Red;85;Х/ф;Как остаться в браке;[16+]
191420;191445;.Red;85;Х/ф;Как остаться в браке;[16+]
191445;191510;.Red;85;Х/ф;Как остаться в браке;[16+]
191510;191535;.Red;85;Х/ф;Как остаться в браке;[16+]
191535;191600;.Red;85;Х/ф;Как остаться в браке;[16+]
191600;191625;.Red;85;Х/ф;Как остаться в браке;[16+]
191625;191650;.Red;85;Х/ф;Как остаться в браке;[16+]
191650;191720;.Red;85;Х/ф;Как остаться в браке;[16+]
191720;191805;.Red;85;Х/ф;Валентина, любовь моя;[16+]
191805;191855;.Red;85;Х/ф;Валентина, любовь моя;[16+]
191855;191915;.Red;85;Х/ф;Секретные рецепты Мэри Берг;[16+]
191915;191940;.Red;85;Х/ф;Секретные рецепты Мэри Берг;[16+]
191940;192000;.Red;85;Х/ф;Секретные рецепты Мэри Берг;[16+]
192000;192050;.Red;85;Х/ф;Тайны Авроры Тигарден;[16+]
192050;192140;.Red;85;Х/ф;Тайны Авроры Тигарден;[16+]
192140;192205;.Red;85;Х/ф;Больница Сент-Винсент;[16+]
192205;192225;.Red;85;Х/ф;Больница Сент-Винсент;[16+]
192225;192250;.Red;85;Х/ф;Больница Сент-Винсент;[16+]
192250;192310;.Red;85;Х/ф;Больница Сент-Винсент;[16+]
192310;192335;.Red;85;Х/ф;Больница Сент-Винсент;[16+]
192335;200210;.Red;85;Х/ф;История моей жены;[16+]
200210;200255;.Red;85;Х/ф;Тайны Авроры Тигарден;[16+]
200255;200335;.Red;85;Х/ф;Тайны Авроры Тигарден;[16+]
200335;200355;.Red;85;Х/ф;Больница Сент-Винсент;[16+]
200355;200420;.Red;85;Х/ф;Больница Сент-Винсент;[16+]
200420;200540;.Red;85;Х/ф;Дождь из мужчин;[16+]
200540;200600;.Red;85;Х/ф;Как отреставрировать замок (и остаться в живых);[16+]
200600;200620;.Red;85;Х/ф;Как отреставрировать замок (и остаться в живых);[16+]
200620;200820;.Red;85;Х/ф;Супергерои;[16+]
200820;200840;.Red;85;Х/ф;Секретные рецепты Мэри Берг;[16+]
200840;200905;.Red;85;Х/ф;Секретные рецепты Мэри Берг;[16+]
200905;200950;.Red;85;Х/ф;Валентина, любовь моя;[16+]
200950;201035;.Red;85;Х/ф;Валентина, любовь моя;[16+]
201035;201125;.Red;85;Х/ф;Тайны Авроры Тигарден;[16+]
201125;201215;.Red;85;Х/ф;Тайны Авроры Тигарден;[16+]
201215;201340;.Red;85;Х/ф;Дождь из мужчин;[16+]
201340;201405;.Red;85;Х/ф;Как остаться в браке;[16+]
201405;201435;.Red;85;Х/ф;Как остаться в браке;[16+]
201435;201500;.Red;85;Х/ф;Как остаться в браке;[16+]
201500;201525;.Red;85;Х/ф;Как остаться в браке;[16+]
201525;201555;.Red;85;Х/ф;Как остаться в браке;[16+]
201555;201620;.Red;85;Х/ф;Как остаться в браке;[16+]
201620;201645;.Red;85;Х/ф;Как остаться в браке;[16+]
201645;201715;.Red;85;Х/ф;Как остаться в браке;[16+]
201715;201805;.Red;85;Х/ф;Валентина, любовь моя;[16+]
201805;201855;.Red;85;Х/ф;Валентина, любовь моя;[16+]
201855;201915;.Red;85;Х/ф;Секретные рецепты Мэри Берг;[16+]
201915;201935;.Red;85;Х/ф;Секретные рецепты Мэри Берг;[16+]
201935;202000;.Red;85;Х/ф;Секретные рецепты Мэри Берг;[16+]
202000;202050;.Red;85;Х/ф;Тайны Авроры Тигарден;[16+]
202050;202140;.Red;85;Х/ф;Тайны Авроры Тигарден;[16+]
202140;202205;.Red;85;Х/ф;Больница Сент-Винсент;[16+]
202205;202225;.Red;85;Х/ф;Больница Сент-Винсент;[16+]
202225;202250;.Red;85;Х/ф;Больница Сент-Винсент;[16+]
202250;202315;.Red;85;Х/ф;Больница Сент-Винсент;[16+]
202315;202335;.Red;85;Х/ф;Больница Сент-Винсент;[16+]
202335;210135;.Red;85;Х/ф;После свадьбы;[16+]
210135;210220;.Red;85;Х/ф;Тайны Авроры Тигарден;[16+]
210220;210305;.Red;85;Х/ф;Тайны Авроры Тигарден;[16+]
210305;210325;.Red;85;Х/ф;Больница Сент-Винсент;[16+]
210325;210345;.Red;85;Х/ф;Больница Сент-Винсент;[16+]
210345;210515;.Red;85;Х/ф;Пока я рядом;[16+]
210515;210540;.Red;85;Х/ф;Как отреставрировать замок (и остаться в живых);[16+]
210540;210600;.Red;85;Х/ф;Как отреставрировать замок (и остаться в живых);[16+]
210600;210620;.Red;85;Х/ф;Как отреставрировать замок (и остаться в живых);[16+]
210620;210640;.Red;85;Х/ф;Как отреставрировать замок (и остаться в живых);[16+]
210640;210825;.Red;85;Х/ф;Певица на всю голову;[16+]
210825;210915;.Red;85;Х/ф;Валентина, любовь моя;[16+]
210915;211005;.Red;85;Х/ф;Валентина, любовь моя;[16+]
211005;211055;.Red;85;Х/ф;Тайны Авроры Тигарден;[16+]
211055;211145;.Red;85;Х/ф;Тайны Авроры Тигарден;[16+]
211145;211330;.Red;85;Х/ф;Пока я рядом;[16+]
211330;211425;.Red;85;Х/ф;Сделано в Италии;[16+]
211425;211520;.Red;85;Х/ф;Сделано в Италии;[16+]
211520;211615;.Red;85;Х/ф;Сделано в Италии;[16+]
211615;211710;.Red;85;Х/ф;Сделано в Италии;[16+]
211710;211805;.Red;85;Х/ф;Валентина, любовь моя;[16+]
211805;211855;.Red;85;Х/ф;Валентина, любовь моя;[16+]
211855;211915;.Red;85;Х/ф;Секретные рецепты Мэри Берг;[16+]
211915;211935;.Red;85;Х/ф;Секретные рецепты Мэри Берг;[16+]
211935;212000;.Red;85;Х/ф;Секретные рецепты Мэри Берг;[16+]
212000;212115;.Red;85;Х/ф;Залёт;[16+]
212115;212300;.Red;85;Х/ф;Мой лучший любовник;[16+]
212300;220050;.Red;85;Х/ф;Герцогиня;[16+]
220050;220245;.Red;85;Х/ф;Адаптация;[18+]
220245;220515;.Red;85;Х/ф;История моей жены;[16+]
220515;220540;.Red;85;Х/ф;Как отреставрировать замок (и остаться в живых);[16+]
220540;220600;.Red;85;Х/ф;Как отреставрировать замок (и остаться в живых);[16+]
220600;220740;.Red;85;Х/ф;Пока я рядом;[16+]
220740;220800;.Red;85;Х/ф;Секретные рецепты Мэри Берг;[16+]
220800;220825;.Red;85;Х/ф;Секретные рецепты Мэри Берг;[16+]
220825;220845;.Red;85;Х/ф;Секретные рецепты Мэри Берг;[16+]
220845;220910;.Red;85;Х/ф;Секретные рецепты Мэри Берг;[16+]
220910;220930;.Red;85;Х/ф;Секретные рецепты Мэри Берг;[16+]
220930;220950;.Red;85;Х/ф;Секретные рецепты Мэри Берг;[16+]
220950;221015;.Red;85;Х/ф;Секретные рецепты Мэри Берг;[16+]
221015;221115;.Red;85;Х/ф;Проверка на прочность;[16+]
221115;221215;.Red;85;Х/ф;Проверка на прочность;[16+]
221215;221320;.Red;85;Х/ф;Проверка на прочность;[16+]
221320;221410;.Red;85;Х/ф;Тайны Авроры Тигарден;[16+]
221410;221500;.Red;85;Х/ф;Тайны Авроры Тигарден;[16+]
221500;221545;.Red;85;Х/ф;Тайны Авроры Тигарден;[16+]
221545;221635;.Red;85;Х/ф;Тайны Авроры Тигарден;[16+]
221635;221725;.Red;85;Х/ф;Тайны Авроры Тигарден;[16+]
221725;221815;.Red;85;Х/ф;Тайны Авроры Тигарден;[16+]
221815;221910;.Red;85;Х/ф;Тайны Авроры Тигарден;[16+]
221910;222000;.Red;85;Х/ф;Тайны Авроры Тигарден;[16+]
222000;222210;.Red;85;Х/ф;Сабрина;[16+]
222210;222355;.Red;85;Х/ф;Любовь вслепую;[16+]
222355;230150;.Red;85;Х/ф;Супергерои;[16+]
230150;230300;.Red;85;Х/ф;Залёт;[16+]
230300;230455;.Red;85;Х/ф;После свадьбы;[16+]
230455;230515;.Red;85;Х/ф;Как отреставрировать замок (и остаться в живых);[16+]
230515;230535;.Red;85;Х/ф;Как отреставрировать замок (и остаться в живых);[16+]
230535;230600;.Red;85;Х/ф;Как отреставрировать замок (и остаться в живых);[16+]
230600;230745;.Red;85;Х/ф;Мой лучший любовник;[16+]
230745;230810;.Red;85;Х/ф;Секретные рецепты Мэри Берг;[16+]
230810;230830;.Red;85;Х/ф;Секретные рецепты Мэри Берг;[16+]
230830;230850;.Red;85;Х/ф;Секретные рецепты Мэри Берг;[16+]
230850;230915;.Red;85;Х/ф;Секретные рецепты Мэри Берг;[16+]
230915;231015;.Red;85;Х/ф;Проверка на прочность;[16+]
231015;231115;.Red;85;Х/ф;Проверка на прочность;[16+]
231115;231220;.Red;85;Х/ф;Проверка на прочность;[16+]
231220;231240;.Red;85;Х/ф;Больница Сент-Винсент;[16+]
231240;231305;.Red;85;Х/ф;Больница Сент-Винсент;[16+]
231305;231330;.Red;85;Х/ф;Больница Сент-Винсент;[16+]
231330;231350;.Red;85;Х/ф;Больница Сент-Винсент;[16+]
231350;231415;.Red;85;Х/ф;Больница Сент-Винсент;[16+]
231415;231435;.Red;85;Х/ф;Больница Сент-Винсент;[16+]
231435;231500;.Red;85;Х/ф;Больница Сент-Винсент;[16+]
231500;231525;.Red;85;Х/ф;Больница Сент-Винсент;[16+]
231525;231550;.Red;85;Х/ф;Больница Сент-Винсент;[16+]
231550;231610;.Red;85;Х/ф;Больница Сент-Винсент;[16+]
231610;231635;.Red;85;Х/ф;Больница Сент-Винсент;[16+]
231635;231700;.Red;85;Х/ф;Больница Сент-Винсент;[16+]
231700;231720;.Red;85;Х/ф;Больница Сент-Винсент;[16+]
231720;231745;.Red;85;Х/ф;Больница Сент-Винсент;[16+]
231745;231805;.Red;85;Х/ф;Больница Сент-Винсент;[16+]
231805;231830;.Red;85;Х/ф;Больница Сент-Винсент;[16+]
231830;231850;.Red;85;Х/ф;Больница Сент-Винсент;[16+]
231850;231915;.Red;85;Х/ф;Больница Сент-Винсент;[16+]
231915;231940;.Red;85;Х/ф;Больница Сент-Винсент;[16+]
231940;232000;.Red;85;Х/ф;Больница Сент-Винсент;[16+]
232000;232130;.Red;85;Х/ф;Болельщицы со стажем;[16+]
232130;232325;.Red;85;Х/ф;Итальянские каникулы;[16+]
232325;240135;.Red;85;Х/ф;Сабрина;[16+]
240135;240320;.Red;85;Х/ф;Герцогиня;[16+]
240320;240515;.Red;85;Х/ф;Супергерои;[16+]
240515;240540;.Red;85;Х/ф;Как отреставрировать замок (и остаться в живых);[16+]
240540;240600;.Red;85;Х/ф;Как отреставрировать замок (и остаться в живых);[16+]
170600;170615;.Sci-Fi;82;Х/ф;Путешествие к бессмертию;[16+]
170615;170635;.Sci-Fi;82;Х/ф;Путешествие к бессмертию;[16+]
170635;170650;.Sci-Fi;82;Х/ф;Путешествие к бессмертию;[16+]
170650;170705;.Sci-Fi;82;Х/ф;Путешествие к бессмертию;[16+]
170705;170805;.Sci-Fi;82;Х/ф;Одиннадцатое тело;[16+]
170805;170900;.Sci-Fi;82;Х/ф;Одиннадцатое тело;[16+]
170900;170955;.Sci-Fi;82;Х/ф;Космические технологии: за пределы возможного;[16+]
170955;171050;.Sci-Fi;82;Х/ф;Космические технологии: за пределы возможного;[16+]
171050;171210;.Sci-Fi;82;Х/ф;Даааааали!;[16+]
171210;171335;.Sci-Fi;82;Х/ф;Королевские каникулы;[16+]
171335;171505;.Sci-Fi;82;Х/ф;Робопёс;[16+]
